id,date,time,name,size,type,price,Discount
2015-000001,,0 days 11:38:36,hawaiian,M,classic,13.25,1.3250000000000002
2015-000002,,0 days 11:57:40,classic_dlx,M,classic,16.0,1.6
2015-000002,,0 days 11:57:40,mexicana,M,veggie,16.0,1.6
2015-000002,,0 days 11:57:40,thai_ckn,L,chicken,20.75,2.075
2015-000002,,0 days 11:57:40,five_cheese,L,veggie,18.5,1.85
2015-000002,,0 days 11:57:40,ital_supr,L,supreme,20.75,2.075
2015-000003,,0 days 12:12:28,prsc_argla,L,supreme,20.75,2.075
2015-000003,,0 days 12:12:28,ital_supr,M,supreme,16.5,1.6500000000000001
2015-000004,,0 days 12:16:31,ital_supr,M,supreme,16.5,1.6500000000000001
2015-000005,,0 days 12:21:30,ital_supr,M,supreme,16.5,1.6500000000000001
2015-000006,,0 days 12:29:36,bbq_ckn,S,chicken,12.75,1.2750000000000001
2015-000006,,0 days 12:29:36,the_greek,S,classic,12.0,1.2000000000000002
2015-000007,,0 days 12:50:37,spinach_supr,S,supreme,12.5,1.25
2015-000008,,0 days 12:51:37,spinach_supr,S,supreme,12.5,1.25
2015-000009,,0 days 12:52:01,ital_supr,L,supreme,20.75,2.075
2015-000009,,0 days 12:52:01,mexicana,S,veggie,12.0,1.2000000000000002
2015-000009,,0 days 12:52:01,spin_pesto,L,veggie,20.75,2.075
2015-000009,,0 days 12:52:01,spicy_ital,L,supreme,20.75,2.075
2015-000009,,0 days 12:52:01,ital_cpcllo,L,classic,20.5,2.0500000000000003
2015-000009,,0 days 12:52:01,veggie_veg,S,veggie,12.0,1.2000000000000002
2015-000009,,0 days 12:52:01,green_garden,S,veggie,12.0,1.2000000000000002
2015-000009,,0 days 12:52:01,classic_dlx,S,classic,12.0,1.2000000000000002
2015-000009,,0 days 12:52:01,ital_supr,S,supreme,12.5,1.25
2015-000010,,0 days 13:00:15,mexicana,L,veggie,20.25,2.025
2015-000010,,0 days 13:00:15,southw_ckn,L,chicken,20.75,2.075
2015-000011,,0 days 13:02:59,pepperoni,L,classic,15.25,1.5250000000000001
2015-000011,,0 days 13:02:59,cali_ckn,L,chicken,20.75,2.075
2015-000011,,0 days 13:02:59,cali_ckn,M,chicken,16.75,1.675
2015-000011,,0 days 13:02:59,bbq_ckn,L,chicken,20.75,2.075
2015-000012,,0 days 13:04:41,cali_ckn,S,chicken,12.75,1.2750000000000001
2015-000012,,0 days 13:04:41,ital_supr,M,supreme,16.5,1.6500000000000001
2015-000012,,0 days 13:04:41,cali_ckn,L,chicken,20.75,2.075
2015-000012,,0 days 13:04:41,ckn_pesto,L,chicken,20.75,2.075
2015-000013,,0 days 13:11:55,mexicana,L,veggie,20.25,2.025
2015-000014,,0 days 13:14:19,the_greek,S,classic,12.0,1.2000000000000002
2015-000015,,0 days 13:33:00,big_meat,S,classic,12.0,1.2000000000000002
2015-000015,,0 days 13:33:00,five_cheese,L,veggie,18.5,1.85
2015-000015,,0 days 13:33:00,soppressata,L,supreme,20.75,2.075
2015-000015,,0 days 13:33:00,the_greek,S,classic,12.0,1.2000000000000002
2015-000016,,0 days 13:34:07,thai_ckn,L,chicken,20.75,2.075
2015-000016,,0 days 13:34:07,four_cheese,L,veggie,17.95,1.795
